 Time Step, Robot ID, X, Y, Degree, SD Est 
1,0,-231.02063,172.76234,0,0
1,1,167.24028,339.66092,0,0
1,2,55.048702,-323.98767,0,0
1,3,387.52118,173.61955,0,0
1,4,-68.07928,-140.0156,0,0
1,5,167.8892,98.24329,0,0
1,6,-81.2395,53.68692,0,0
1,7,9.996569,269.53003,0,0
1,8,-388.14053,78.189575,0,0
1,9,-294.503,-283.24265,0,0
1,10,182.14862,-194.14935,0,0
1,11,17.551779,-69.672745,0,0
2,0,-228.92366,174.90773,0,0
2,1,164.7622,337.97003,0,0
2,2,53.24423,-321.59103,0,0
2,3,384.752,174.77354,0,0
2,4,-70.69531,-141.48405,0,0
2,5,168.85014,101.08523,0,0
2,6,-78.62197,55.15271,0,0
2,7,10.742035,266.6241,0,0
2,8,-386.185,80.46464,0,0
2,9,-294.71216,-286.23535,0,0
2,10,180.02832,-196.27168,0,0
2,11,18.868898,-72.36815,0,0
3,0,-226.11865,175.97163,0,0
3,1,162.53891,335.95584,0,0
3,2,51.084187,-319.50916,0,0
3,3,382.36462,176.59024,0,0
3,4,-73.41658,-142.74687,0,0
3,5,170.81273,103.3542,0,0
3,6,-76.18841,56.90707,0,0
3,7,11.502085,263.722,0,0
3,8,-384.68112,83.06047,0,0
3,9,-294.33777,-289.2119,0,0
3,10,177.29079,-197.49883,0,0
3,11,20.87279,-74.60073,0,0
4,0,-223.21692,176.7332,0,0
4,1,160.60782,333.66,0,0
4,2,49.199768,-317.17487,0,0
4,3,380.26843,178.73639,0,0
4,4,-75.92687,-144.38956,0,0
4,5,172.94086,105.4687,0,0
4,6,-74.00985,58.969566,0,0
4,7,12.754512,260.9959,0,0
4,8,-383.01825,85.557434,0,0
4,9,-293.67267,-292.13727,0,0
4,10,174.66344,-198.94695,0,0
4,11,22.562416,-77.07967,0,0
5,0,-220.49066,177.9852,0,0
5,1,158.76874,331.28983,0,0
5,2,46.836338,-315.32712,0,0
5,3,378.1524,180.86299,0,0
