 Time Step, Mean Dist, StdDev Mean Dist, Mean Cluster Size, Mean SD Est, StdDev Mean SD Est
1,25.347359,3.7124956,2.2222223,4.6,3.4360065
2,26.21878,3.617649,2.2222223,1.1777778,0.03142697
3,26.605839,2.7139373,2.25,1.1333333,0.011785116
4,25.534922,3.150988,2.2857144,1.2285715,0.040406104
5,28.501318,6.3532705,2.4285715,1.2952381,0.10774962
6,28.833605,6.426099,2.4285715,1.3142856,0.08081221
7,27.88561,7.6622505,2.5,1.3666667,0.094280906
8,28.092894,7.905252,2.5,1.3666667,0.094280906
9,29.804007,7.9966636,2.6666667,1.4222223,0.14621021
10,32.72086,11.86188,2.8333333,1.5222222,0.15997352
11,45.008648,22.76672,3.4,1.4552381,0.21278223
12,46.187523,12.839788,3,1.1142857,0.28202367
13,45.0856,12.626684,3,1.2285715,0.053452253
14,44.312347,12.5733795,3,1.2285715,0.053452253
15,44.80141,14.846653,3.1666667,1.2666668,0.06236096
16,27.330353,4.0754313,2.5714285,1.2628572,0.021380898
17,26.510569,4.220531,2.5714285,1.3238095,0.054544087
18,26.009186,4.308657,2.5714285,1.3542856,0.03428572
19,25.802214,4.449177,2.5714285,1.3542856,0.025837457
20,24.04373,5.275909,2.6666667,1.4444445,0.019876173
21,26.516571,5.696749,2.8333333,1.4722223,0.0799687
22,25.87957,5.3711076,2.8333333,1.5022222,0.06749151
23,25.427162,5.1521277,2.8333333,1.5088888,0.06749151
24,26.519949,4.2295218,2.7142856,1.2885715,0.09428573
25,32.34328,8.207848,3.3333333,1.4025397,0.1510852
26,32.01391,7.7910028,3.3333333,1.4088888,0.15181209
27,31.577087,7.334814,3.3333333,1.4438095,0.0921128
28,30.872145,6.919336,3.3333333,1.5228572,0.100426696
29,30.209517,6.461801,3.3333333,1.4971428,0.06363029
30,29.399206,6.07276,3.3333333,1.4304762,0.13290425
31,28.58101,5.6971455,3.3333333,1.4304762,0.13290425
32,29.248186,4.6269827,3.142857,1.349932,0.098519586
33,28.906755,4.5062513,3.142857,1.4821769,0.093677446
34,28.614315,4.4438553,3.142857,1.4593198,0.07133399
35,28.28375,4.4552946,3.142857,1.4478912,0.078717805
36,28.467442,4.513016,3.142857,1.4478912,0.078717805
37,38.015766,20.111298,3.4285715,1.4,0.18945377
38,29.993876,6.3074737,3.2857144,1.4265306,0.08871345
39,30.01961,6.3686724,3.2857144,1.4942404,0.092141904
40,29.843533,6.090947,3,1.2952381,0.11507692
41,30.188574,5.547524,3.125,1.4039683,0.08557029
42,29.472332,6.26656,3,1.4888889,0.09643859
43,28.649776,6.914454,2.875,1.4188889,0.061920375
44,28.70295,6.9343233,2.875,1.4188889,0.061920375
45,24.495693,6.0816135,2.75,1.44,0.14387478
46,27.21698,7.6847258,2.875,1.4416667,0.09035488
47,27.373684,7.632722,2.875,1.475,0.083218396
48,27.82196,7.6005116,2.875,1.465,0.08900499
49,28.351349,7.6433153,2.875,1.4350001,0.0845101
50,29.07293,7.6968713,2.875,1.4350001,0.0845101
51,30.666506,7.916027,3,1.3900001,0.104622334
52,31.521841,8.180374,3,1.4033334,0.06584873
53,34.12699,11.559414,3.125,1.445,0.10834056
54,34.69916,11.7875,3.125,1.4366667,0.13351484
55,35.394917,12.027243,3.125,1.4602778,0.11006628
56,36.165955,12.265802,3.125,1.4908334,0.1189798
57,35.341705,8.803386,3,1.4658334,0.13362446
58,32.185352,9.318356,2.75,1.3958334,0.10027151
59,36.581116,11.043331,3,1.4166667,0.11522849
60,39.85642,13.12769,3.2857144,1.5285715,0.23639344
61,40.94135,15.215767,3.5,1.5305556,0.21959895
62,41.977795,17.978794,3.8,1.6333334,0.2383432
63,41.834587,17.706585,3.8,1.6333334,0.2383432
64,41.642097,17.467072,3.8,1.58,0.23603813
65,41.53771,17.326723,3.8,1.5633333,0.23143986
66,41.482048,17.244228,3.8,1.5633333,0.23143986
67,41.483353,17.169876,3.8,1.5633333,0.23143986
68,40.193478,15.105451,3.6,1.5866667,0.24377124
69,36.011913,9.6753645,3.1666667,1.315873,0.22784062
70,35.631863,9.472549,3.1666667,1.3825397,0.16117395
71,35.278767,9.343367,3.1666667,1.3825397,0.16117395
72,27.974422,3.9225833,2.5714285,1.3238095,0.14058463
73,27.906118,3.7954624,2.5714285,1.3047619,0.056504373
74,39.401173,17.876709,3.1666667,1.2805556,0.14226453
75,39.23965,17.9451,3.1666667,1.3055556,0.13135101
76,42.535564,23.252937,3.1666667,1.2527778,0.20519398
77,41.997562,23.300806,3.1666667,1.3472223,0.13985775
78,41.492695,23.332207,3.1666667,1.3472223,0.13985775
79,39.27775,18.693436,3.3333333,1.3361111,0.15468569
80,39.132896,18.56358,3.3333333,1.4305555,0.18677734
81,39.101078,18.41913,3.3333333,1.4305555,0.18677734
82,39.364376,18.329214,3.3333333,1.475,0.17106386
83,39.77631,18.24583,3.3333333,1.4972223,0.13963689
84,30.754965,6.245417,3,1.5333333,0.06510518
85,31.142637,6.2983947,3,1.5333334,0.083299756
86,31.78762,6.5142136,3,1.5111113,0.11472672
87,42.123604,13.569837,3.8,1.4933335,0.13767207
88,46.91633,18.503452,3.8,1.5466666,0.30526948
89,46.98286,19.336998,3.8,1.5066667,0.2716704
90,37.85418,12.444932,3.4,1.5733335,0.16595633
91,37.77733,12.859996,3.4,1.5533334,0.15767208
92,35.249004,13.895772,3.2,1.5333333,0.19424061
93,36.98359,13.752043,3.4,1.4857142,0.24510288
94,37.045128,13.931874,3.4,1.4933333,0.1931371
95,34.646305,11.774051,3,1.6277779,0.2572566
96,34.34287,11.23697,3,1.6222223,0.2366793
97,33.97724,10.577249,3,1.688889,0.18224621
98,33.621647,9.957543,3,1.7333335,0.16653271
99,30.473608,5.848905,2.8333333,1.7222223,0.15463196
100,30.432913,5.64472,2.8333333,1.5833334,0.11585889
101,30.424475,5.5164275,2.8333333,1.5500001,0.06380712
102,32.74778,8.08524,3.1666667,1.5666667,0.13943629
103,32.30045,7.9585514,3.1666667,1.6185187,0.119053386
104,27.147034,5.67881,3,1.5703703,0.11580185
105,27.219452,5.3940797,2.7142856,1.4057143,0.09046258
106,29.543247,7.4148836,2.857143,1.4419048,0.044983957
107,29.327911,7.212471,2.857143,1.5371429,0.065468915
108,28.329536,4.160775,2.625,1.4666667,0.07134628
109,28.076607,3.8521504,2.625,1.5625,0.037499994
110,28.09874,3.528029,2.625,1.5791667,0.020833343
111,28.309467,3.228092,2.625,1.5791667,0.020833343
112,28.749054,2.9054468,2.625,1.5791667,0.020833343
113,28.535217,3.049895,2.7142856,1.6285715,0.028571436
114,29.811525,2.4898567,2.625,1.4166667,0.10833335
115,30.192923,2.3556292,2.625,1.4,0.04045086
116,25.653828,1.9183345,2.3333333,1.3037038,0.071661
117,24.027967,1.3190591,2.2222223,1.2370371,0.020951318
118,23.954115,1.3138779,2.2222223,1.2222222,0
119,27.308624,3.901617,2.5,1.2233334,0.049272485
120,27.929117,3.9006329,2.5,1.27,0.02915476
121,28.544033,3.9083977,2.5,1.27,0.02915476
122,28.266611,4.4619856,2.5714285,1.3085715,0.033319727
123,29.534338,4.005797,2.5,1.17,0.114510104
124,30.30935,3.6487148,2.4444444,1.1511111,0.10178676
125,33.18139,4.599929,2.5,1.156,0.13481303
126,34.763298,7.4291334,2.6,1.2533333,0.13932654
127,35.941166,9.121471,2.7,1.3000002,0.21154633
128,35.513596,9.135443,2.7,1.3533335,0.15269016
129,33.353653,7.3758764,2.6666667,1.3703704,0.1826732
130,32.475464,8.496378,2.75,1.3666668,0.15550736
131,29.325985,6.2567143,2.4444444,1.2407407,0.15220341
132,30.25643,7.6309867,2.5555556,1.2666667,0.12249533
133,28.20072,5.708815,2.4,1.2233334,0.1296739
134,27.46373,5.7323675,2.4,1.25,0.10853008
135,26.725103,5.727848,2.4,1.25,0.10853008
136,25.987274,5.6429496,2.4,1.25,0.10853008
137,25.70194,5.4285703,2.4,1.25,0.10853008
138,25.351673,5.2145376,2.4,1.2633333,0.09910198
139,23.989511,3.6912708,2.3,1.2466667,0.103709005
140,26.140057,4.694173,2.4,1.24,0.11751268
141,27.829865,6.74551,2.5,1.2866666,0.09428091
142,25.777063,5.301061,2.4,1.3199999,0.12485282
143,24.80906,5.864645,2.4444444,1.311111,0.094280906
144,24.887354,5.727299,2.4444444,1.311111,0.094280906
145,25.502625,5.599056,2.4444444,1.311111,0.094280906
146,26.438875,5.4111166,2.4444444,1.311111,0.094280906
147,25.216696,3.5793047,2.3333333,1.2888889,0.10729839
148,24.764294,3.977074,2.375,1.275,0.07071068
149,25.44491,3.9346085,2.375,1.275,0.07071068
150,26.18859,3.9091477,2.375,1.275,0.07071068
151,23.189978,3.0519943,2.2857144,1.247619,0.11101767
152,20.84264,0.76169825,2.142857,1.1428572,0.09754896
153,21.479116,0.788623,2.142857,1.0857142,0.040406104
154,19.88385,0.95624965,2.1666667,1.1,0.047140453
155,20.455112,1.0231534,2.1666667,1.1,0.047140453
156,24.159918,2.6034904,2.3333333,1.111111,0.06285394
157,21.812338,1.3191923,2.1666667,1.1666666,0.11380712
158,28.268652,5.3904624,2.5,1.1222223,0.07856743
159,30.342428,7.771183,2.6666667,1.3222222,0.17926459
160,29.565742,7.6758494,2.6666667,1.4222221,0.13510574
161,29.047981,7.638166,2.6666667,1.4666667,0.11939225
162,28.513903,7.6221523,2.6666667,1.4888889,0.08796529
163,28.023626,7.5511384,2.6666667,1.4888889,0.08796529
164,27.694275,7.4214973,2.6666667,1.4888889,0.08796529
165,27.720026,7.279761,2.6666667,1.4944445,0.11449799
166,27.864105,7.030936,2.6666667,1.4833332,0.133743
167,28.227453,6.7406516,2.6666667,1.4833332,0.133743
168,28.547142,6.4428506,2.6666667,1.4833332,0.133743
169,31.468225,10.763256,2.8333333,1.4944445,0.14945649
170,32.521767,12.544708,2.8333333,1.5555555,0.19795968
171,33.13501,12.11555,2.8333333,1.4833332,0.11094758
172,33.815655,11.608502,2.8333333,1.4833332,0.11094758
173,34.497936,9.444154,2.7142856,1.3571428,0.15224078
174,38.679096,14.169996,3,1.4666666,0.20832716
175,38.656315,13.545441,3,1.5476191,0.17049675
176,33.738384,9.291811,2.7142856,1.5047619,0.21335389
177,33.528328,7.6646905,2.625,1.3750001,0.17489953
178,33.3357,7.1683216,2.625,1.4416667,0.10132931
179,32.330368,7.5966115,2.5,1.3666667,0.08249579
180,30.292862,3.7859704,2.375,1.275,0.07071068
181,30.258091,3.5917695,2.375,1.225,0.120710686
182,30.101826,3.665772,2.375,1.275,0.07071068
183,29.919401,3.875896,2.375,1.275,0.07071068
184,29.826889,4.0232472,2.375,1.275,0.07071068
185,29.417526,3.9943378,2.375,1.275,0.07071068
186,29.111534,4.041704,2.375,1.275,0.07071068
187,28.822456,4.145995,2.375,1.275,0.07071068
188,27.684845,4.8314056,2.4285715,1.3142856,0.08081221
189,30.611671,7.354073,2.5,1.2666667,0.16320251
190,30.43253,7.252972,2.5,1.35,0.10606602
191,29.513514,8.192399,2.5714285,1.3619047,0.13468702
192,25.892725,5.9707956,2.4285715,1.3142856,0.17836118
193,25.61905,5.829656,2.4285715,1.2571428,0.12121831
194,26.647295,5.0392227,2.375,1.175,0.15606603
195,25.509964,3.4722328,2.2222223,1.0888888,0.10729839
196,25.177252,3.4837008,2.2222223,1.1333333,0.06285394
197,24.981974,3.5168355,2.2222223,1.1333333,0.06285394
198,23.117954,1.6702075,2.1111112,1.1111112,0.075871415
199,22.848396,1.7057457,2.1111112,1.0666667,0.03142697
200,22.765205,1.7041959,2.1111112,1.0666667,0.03142697
201,27.151615,4.3540206,2.375,1.1500001,0.06597397
202,25.867243,4.901264,2.4285715,1.1857144,0.05469182
203,26.783209,5.720313,2.5714285,1.24,0.10704555
204,26.938877,5.686872,2.5714285,1.247619,0.09691048
205,27.609257,4.918626,2.5,1.1666666,0.13479666
206,27.740513,4.81313,2.5,1.2166667,0.08479667
207,27.922457,4.7413454,2.5,1.2166667,0.08479667
208,28.089785,4.6685605,2.5,1.24,0.09022894
209,28.83854,4.0622754,2.4444444,1.1866667,0.10253808
210,28.062696,4.5296507,2.5,1.26,0.065355346
211,28.114021,4.501465,2.5,1.3,0.09236412
212,25.549318,2.7821293,2.375,1.2983334,0.0957651
213,26.719488,6.3292227,2.5714285,1.3619047,0.118547514
214,26.466051,6.330586,2.5714285,1.3809525,0.085076734
215,25.003157,7.3190513,2.6666667,1.4399999,0.072084844
216,24.772913,7.0635123,2.6666667,1.4399999,0.072084844
217,24.746943,6.9107156,2.6666667,1.4399999,0.072084844
218,24.90474,6.7032166,2.6666667,1.4711109,0.08965408
219,24.61829,2.2691553,2.4285715,1.3447618,0.13941126
220,24.727533,2.0697427,2.4285715,1.3447618,0.025125535
221,24.847307,2.0128145,2.4285715,1.3447618,0.025125535
222,24.727674,1.7984031,2.4285715,1.3447618,0.025125535
223,24.794592,1.7310096,2.4285715,1.3447618,0.025125535
224,25.106455,1.7271787,2.4285715,1.3447618,0.025125535
225,23.531143,2.2311985,2.5,1.4022222,0.029313125
226,23.397005,4.2945666,2.8,1.368,0.044984065
227,23.001724,4.632985,2.8,1.4533334,0.08041995
228,22.51292,5.039097,2.8,1.4533334,0.08041995
229,21.922876,5.340974,2.8,1.3840001,0.09736071
230,24.670126,3.5517058,2.4285715,1.1666667,0.21242686
231,24.591885,3.335315,2.4285715,1.2714285,0.11463686
232,24.682997,3.2820613,2.4285715,1.2714285,0.11463686
233,25.693653,4.369715,2.5714285,1.3257142,0.14515069
234,24.832315,3.3399565,2.4285715,1.3380953,0.12895781
235,25.246536,3.6686294,2.4285715,1.3285714,0.07423075
236,25.480648,2.5179315,2.25,1.15,0.08535534
237,25.531185,2.5036979,2.25,1.2,0.03535534
238,25.566349,2.5037916,2.25,1.2,0.03535534
239,25.79321,2.4721189,2.25,1.2,0.03535534
240,26.784351,2.2037456,2.2222223,1.1333333,0.075871415
241,26.733818,2.2136908,2.2222223,1.1777778,0.03142697
242,28.021221,3.5108373,2.3333333,1.1851851,0.041902628
243,29.704136,5.33626,2.4444444,1.2518518,0.0733296
