 Time Step, Mean Dist, StdDev Mean Dist, Mean Cluster Size, Mean SD Est, StdDev Mean SD Est
1,24.672125,3.0061488,2.375,4.7541666,3.3417542
2,24.480942,2.724396,2.375,1.3291667,0.020833343
3,24.143,2.5323668,2.375,1.3291667,0.020833343
4,26.805136,4.435942,2.4444444,1.2888889,0.106782556
5,27.025324,4.563497,2.4444444,1.4000001,0.03142697
6,28.105906,4.1243258,2.4,1.32,0.06828427
7,28.4107,4.13466,2.4,1.36,0.028284272
8,27.354162,1.3195736,2.3,1.3399999,0.040000003
9,26.732433,1.3658506,2.3333333,1.3333334,0
10,27.380842,1.2542888,2.3333333,1.3333334,0
11,27.617798,1.1967056,2.3333333,1.3333334,0
12,26.088305,1.2241772,2.4285715,1.4285715,0
13,26.669874,1.1556404,2.4285715,1.4285715,0
14,27.073177,1.227707,2.4285715,1.4285715,0
15,26.657412,1.5035081,2.5,1.5,0
16,30.750347,6.962551,3.25,1.688889,0.13005224
17,31.4183,7.196815,3.25,1.7083333,0.13869433
18,32.055344,7.3966336,3.25,1.7083333,0.13869433
19,32.829926,7.6693153,3.25,1.7083333,0.13869433
20,33.654152,6.3548665,3,1.4866666,0.19095547
21,33.899067,6.5546875,3,1.6177778,0.06827684
22,33.78705,8.393243,3.25,1.8111112,0.08480187
23,33.914948,8.585217,3.25,1.7,0.15731323
24,33.649883,8.668777,3.25,1.6833334,0.16046344
25,31.344631,4.8903847,3,1.6333334,0.16015339
26,30.575333,4.7087216,3,1.5666667,0.10052494
27,29.895626,4.5362835,3,1.58,0.10302855
28,29.670639,4.387213,3,1.7266667,0.10812726
29,30.629208,3.3256245,2.8,1.5226667,0.1717443
30,30.353342,3.1959872,2.8,1.6293333,0.08626329
31,30.275019,3.1012588,2.8,1.7493331,0.05730828
32,30.27065,3.1229546,2.8,1.7440001,0.019595938
33,30.942347,2.7295465,2.6666667,1.5111111,0.10579294
34,30.921965,2.9609563,2.6666667,1.568889,0.029313125
35,31.557116,2.8006518,2.5714285,1.4304762,0.082268395
36,30.820923,3.6029332,2.6666667,1.568889,0.029313125
37,30.451744,3.9799328,2.6666667,1.568889,0.029313125
38,29.827368,4.4091296,2.6666667,1.5022224,0.09597979
39,29.164015,4.8717914,2.6666667,1.568889,0.029313125
40,27.194042,6.4294457,2.8,1.6826668,0.03517575
41,26.76914,6.849093,2.8,1.6453333,0.061159182
42,26.148932,7.4369926,2.8,1.608,0.029933264
43,29.795773,11.58156,3,1.648,0.11634314
44,29.070316,11.95761,3,1.6906666,0.099896744
45,29.409613,10.098905,2.8333333,1.4733334,0.13318002
46,28.03693,8.17106,2.5714285,1.3619047,0.13254167
47,30.768559,10.718582,2.7142856,1.4285715,0.18314843
48,27.732243,8.398625,2.5714285,1.4190476,0.14815572
49,27.014292,8.554385,2.5714285,1.3999999,0.12121831
50,26.420773,8.613763,2.5714285,1.3999999,0.12121831
51,26.055706,8.53482,2.5714285,1.3999999,0.12746915
52,25.980183,8.343944,2.5714285,1.4571428,0.08081221
53,33.07613,11.132838,3,1.5999999,0.14698555
54,31.014154,6.6161575,2.8333333,1.5500001,0.06380712
55,31.228716,6.5881543,2.8333333,1.5500001,0.06380712
56,31.373053,6.9332848,2.8333333,1.5500001,0.06380712
57,31.536575,7.508779,2.8333333,1.5500001,0.06380712
58,31.617754,8.094129,2.8333333,1.5500001,0.06380712
59,31.14324,8.697315,2.8333333,1.5500001,0.06380712
60,28.502598,6.1876082,2.5714285,1.3619047,0.15142378
61,28.006393,6.310534,2.5714285,1.4,0.12121831
62,27.972042,6.501313,2.5714285,1.4,0.12121831
63,28.736782,5.9025335,2.5,1.3,0.16153552
64,29.601442,6.309939,2.625,1.4416667,0.11320251
65,26.83009,4.140297,2.5,1.45,0.120710686
66,24.346554,1.7955222,2.375,1.375,0.08535534
67,24.418608,2.0376678,2.375,1.3416667,0.023570225
68,24.520264,2.3290818,2.375,1.375,0
69,24.762753,2.6164126,2.375,1.375,0
70,25.049213,2.9010248,2.375,1.3583333,0.011785109
71,25.76874,3.0608888,2.375,1.325,0.03535534
72,26.708445,3.2576318,2.375,1.325,0.03535534
73,23.225233,2.4290588,2.2857144,1.2857143,0
74,24.966534,1.9297028,2.25,1.1833334,0.06178511
75,24.505682,2.3094037,2.2857144,1.2285715,0.040406104
76,28.632204,4.265565,2.4285715,1.2190477,0.11559616
77,28.823917,4.0894284,2.4285715,1.2571429,0.12121831
78,28.871233,3.9600046,2.4285715,1.2571429,0.12121831
79,28.99731,3.7931218,2.4285715,1.2571429,0.12121831
80,28.823776,3.4818633,2.4285715,1.2952381,0.20529857
81,27.972748,2.956184,2.2857144,1.1904762,0.0673435
82,32.23241,7.8885336,2.5714285,1.2666667,0.15142378
83,31.156042,7.4030833,2.5714285,1.4,0.12121831
84,30.881386,5.994565,2.5,1.3000001,0.16700499
85,29.980812,5.6819267,2.5,1.45,0.03535534
86,29.159601,5.602844,2.5,1.45,0.03535534
87,28.527542,5.680534,2.5,1.45,0.03535534
88,27.875889,5.772842,2.5,1.35,0.120710686
89,27.07148,5.926568,2.5,1.4,0.07071068
90,26.218567,6.130559,2.5,1.4,0.07071068
91,26.520578,5.6491814,2.4444444,1.3111111,0.10729839
92,26.084293,5.860554,2.4444444,1.3555555,0.06285394
93,25.805723,6.093282,2.4444444,1.3555555,0.06285394
94,25.65573,6.2472897,2.4444444,1.325926,0.0733296
95,25.674065,6.365631,2.4444444,1.3111111,0.094280906
96,25.77545,6.4640527,2.4444444,1.3111111,0.094280906
97,25.88934,6.5095196,2.4444444,1.3111111,0.094280906
98,22.322037,5.241371,2.375,1.325,0.120710686
99,22.658651,5.348061,2.375,1.275,0.07071068
100,25.535488,6.3906364,2.5,1.2916667,0.10456085
101,26.062454,6.326972,2.5,1.3166666,0.10132931
102,23.906616,8.077746,2.6666667,1.4444443,0.13028502
103,31.576118,10.921687,3,1.4944444,0.18427865
104,25.289568,5.36687,2.5714285,1.5380954,0.20543876
105,26.226805,5.278015,2.7142856,1.4761906,0.048553117
106,25.733282,5.018341,2.7142856,1.5523809,0.06336489
107,25.34515,4.9839644,2.7142856,1.5904762,0.05148842
108,23.416313,5.6835923,2.8333333,1.7222223,0.040824834
109,22.909904,5.678087,2.8333333,1.7222223,0.040824834
110,22.656843,5.7052426,2.8333333,1.7222223,0.040824834
111,22.800287,5.7358336,2.8333333,1.7222223,0.040824834
112,23.064707,6.047854,2.8333333,1.7222223,0.040824834
113,27.179983,9.040972,3,1.8000001,0.11939225
114,58.949547,41.21221,4,1.872381,0.33998108
115,55.24425,37.585945,3.8,1.9523811,0.40887904
116,58.32699,39.54424,4,1.9257143,0.40005955
117,58.119038,39.451645,4,1.9390476,0.37786883
118,57.86148,39.334675,4,1.9390476,0.37786883
119,57.86736,38.87279,4,1.9390476,0.37786883
120,57.990955,38.468636,4,1.9390476,0.37786883
121,58.111927,37.97989,4,1.812381,0.34887904
122,31.812078,8.186492,3,1.5809524,0.18751313
123,32.023746,9.68542,3,1.6142857,0.12243577
124,33.542385,10.134698,3.1666667,1.4611111,0.07154607
125,38.786827,11.640513,4,1.4800001,0.11903741
126,39.213417,12.780645,4,1.6466668,0.16122517
127,38.906727,12.79728,4,1.5733334,0.11692182
128,38.322933,13.168597,4,1.6200001,0.16074857
129,35.199387,9.556195,3.8,1.6866667,0.10848422
130,30.142836,8.914872,3.1666667,1.7944444,0.14462699
131,29.766558,9.614394,3.1666667,1.7277778,0.098316334
132,29.585464,10.115512,3.1666667,1.7888889,0.15493248
133,29.531227,10.506627,3.1666667,1.8277779,0.16825221
134,29.967215,11.145772,3.1666667,1.7755556,0.19970812
135,27.47847,8.781108,3,1.7022222,0.11856744
