 Time Step, Mean Dist, StdDev Mean Dist, Mean Cluster Size, Mean SD Est, StdDev Mean SD Est,
1,37.27851,7.1023054,3.75,1.6689814,0.47063097,
2,38.49712,9.391421,4.3333335,1.3271605,0.12948258,
3,39.40549,9.728693,4.3333335,1.370113,0.1565139,
4,40.406853,10.099392,4.3333335,1.414609,0.1573637,
5,40.50886,10.399815,4.3333335,1.3971192,0.14492668,
6,40.783478,10.746112,4.3333335,1.3971192,0.14492668,
7,40.856014,10.824735,4.3333335,1.3971192,0.14492668,
8,40.907253,10.867772,4.3333335,1.3971192,0.14492668,
9,40.98746,10.901565,4.3333335,1.3971192,0.14492668,
10,41.06436,10.914887,4.3333335,1.3971192,0.14492668,
11,41.201424,10.930673,4.3333335,1.4663067,0.18752734,
12,41.181614,11.005405,4.3333335,1.4825102,0.19111864,
13,39.76728,8.364704,3.75,1.3618827,0.14333898,
14,39.941456,8.520792,3.75,1.3618827,0.14333898,
15,33.10468,5.1806364,2.8333333,1.4216822,0.12382066,
16,43.360004,18.021488,3,1.1580688,0.21682684,
17,43.295486,18.262985,3,1.1322751,0.18962415,
18,43.3315,18.513285,3,1.1322751,0.18962415,
19,40.658752,15.928588,2.857143,1.1133786,0.16253498,
20,40.080494,16.030727,2.857143,1.1133786,0.16253498,
21,39.602047,16.11442,2.857143,1.1133786,0.16253498,
22,38.81405,16.237461,2.857143,1.1133786,0.16253498,
23,42.37167,19.578585,3.3333333,1.1455761,0.17712457,
24,41.572956,19.662823,3.3333333,1.1502057,0.17936961,
25,42.598034,19.099545,3.5,1.1805555,0.17188846,
26,32.203663,9.163377,2.857143,1.2407407,0.087920666,
27,31.848911,9.1417055,2.857143,1.2407407,0.087920666,
28,31.578054,9.090605,2.857143,1.2407407,0.087920666,
29,31.01702,7.1554947,2.857143,1.1640211,0.14239839,
30,28.48318,4.9787855,2.7142856,1.1468254,0.122699894,
31,27.901423,4.3473487,2.5,1.2305555,0.081650764,
32,25.425001,2.9890876,2.375,1.2447916,0.06929237,
33,25.33068,3.0050719,2.375,1.2864583,0.020320646,
34,26.409594,2.666564,2.3333333,1.2808642,0.003086408,
35,26.392754,2.4464803,2.3333333,1.2808642,0.003086408,
36,25.486866,2.410072,2.375,1.3159722,0.003472209,
37,25.824244,2.1351917,2.375,1.3159722,0.003472209,
38,26.096779,1.9900466,2.375,1.3159722,0.003472209,
39,28.978579,3.931523,2.5,1.3263888,0.018203601,
40,29.180906,4.3446045,2.5,1.2586806,0.09499954,
41,29.134775,4.7303667,2.5,1.2586806,0.09499954,
42,32.951893,8.903316,2.857143,1.3402778,0.15496512,
43,30.648026,9.826846,2.7142856,1.3194444,0.14224266,
44,28.317995,6.1564803,2.5714285,1.295635,0.108570896,
45,26.491055,3.5029447,2.375,1.2916666,0.04419417,
46,26.754723,3.3861203,2.3333333,1.2407407,0.02618914,
47,26.149326,3.7086449,2.3333333,1.2407407,0.02618914,
48,27.459251,4.6793933,2.4444444,1.1712962,0.067855805,
49,26.917822,4.731732,2.4444444,1.1712962,0.067855805,
50,28.498997,4.8867707,2.5,1.1544445,0.069971584,
51,28.340015,4.9004498,2.5,1.2083333,0.07129629,
52,28.295765,4.9076858,2.5,1.2133334,0.07317981,
53,28.369776,4.914235,2.5,1.2133334,0.07317981,
54,28.514532,4.9313173,2.5,1.2133334,0.07317981,
55,28.817768,4.9229407,2.5,1.1516666,0.10747899,
56,29.726978,4.8923826,2.5,1.1655556,0.11421327,
57,32.52734,5.623714,2.6,1.1647222,0.12209036,
58,29.765392,3.388814,2.3636363,1.1030303,0.0665271,
59,30.184162,3.7150464,2.4,1.1133333,0.07317981,
60,29.44865,5.421161,2.5714285,1.1619047,0.10454259,
61,30.377407,5.5238605,2.5714285,1.1619047,0.10454259,
62,31.558598,5.5792947,2.5714285,1.1619047,0.10454259,
63,32.997875,5.6995416,2.5714285,1.1619047,0.10454259,
64,34.033012,5.7608275,2.5714285,1.1619047,0.10454259,
65,34.86318,6.819439,2.6666667,1.111111,0.10900537,
66,35.573547,8.330468,2.8,1.1333333,0.13080645,
67,60.077625,27.830742,2.6666667,1.0527778,0.15595037,
68,59.671432,27.604424,2.6666667,1.0444444,0.14665121,
69,111.00548,35.58376,3.25,1.1041666,0.14731391,
70,25.994066,2.3294213,2.142857,1.0238096,0.033671748,
71,25.288435,2.3176124,2.142857,1.0238096,0.033671748,
72,21.343155,5.20E-06,2,1,0,
73,23.318985,1.8246233,2.142857,1.0119048,0.016835876,
74,25.894663,3.728334,2.2857144,1.0357143,0.050507627,
75,26.227081,3.0218434,2.25,1.0416666,0.05892556,
76,25.575777,2.8195038,2.25,1.0416666,0.05892556,
77,24.958513,2.6264765,2.25,1.0416666,0.05892556,
78,24.704447,2.3939126,2.25,1.0416666,0.05892556,
79,27.486107,4.153501,2.375,1.1354166,0.08444108,
80,27.519032,4.2357936,2.375,1.1666666,0.05892556,
81,27.463278,4.3988748,2.375,1.1666666,0.05892556,
82,26.53339,5.2366533,2.4285715,1.1904762,0.067343496,
83,23.105877,3.5874922,2.2857144,1.1666666,0.033671748,
84,23.368605,3.7907293,2.2857144,1.1666666,0.033671748,
85,23.744333,4.020807,2.2857144,1.1666666,0.033671748,
86,18.676508,1.7282786,2.1666667,1.1666666,0,
87,18.435633,2.0809433,2.1666667,1.1666666,0,
88,18.555405,2.346424,2.1666667,1.1666666,0,
89,21.283663,1.9148617,2.142857,1.1428572,0,
90,22.768652,2.6585078,2.2857144,1.154762,0.016835876,
91,22.926641,1.402234,2.125,1.125,0,
92,22.595087,1.3107791,2.125,1.03125,0.044194173,
93,22.209122,1.2606454,2.125,1.0208333,0.02946278,
94,25.138317,3.294897,2.25,1.03125,0.044194173,
95,24.838032,3.1262217,2.25,1.0416666,0.05892556,
96,24.789713,2.907942,2.25,1.0416666,0.05892556,
97,23.22088,3.123325,2.2857144,1.047619,0.067343496,
98,21.486483,2.0774577,2.142857,1.0238096,0.033671748,
99,21.553497,2.0152493,2.142857,1.0238096,0.033671748,
100,21.728594,1.8955466,2.142857,1.1071428,0.029160593,
101,22.05925,1.8160332,2.142857,1.1428572,0,
102,22.61314,1.7185088,2.142857,1.1428572,0,
103,23.215532,1.5761286,2.142857,1.1428572,0,
104,21.864176,1.763773,2.1666667,1.1666666,0,
105,22.587439,1.6927423,2.1666667,1.1666666,0,
106,23.486227,1.7075578,2.1666667,1.1666666,0,
107,22.388891,2.06173,2.2,1.2,0,
108,23.726469,1.9024076,2.2,1.2,0,
109,24.736917,2.064754,2.2,1.0666667,0.0942809,
110,25.965525,2.2299926,2.2,1.0333333,0.04714045,
111,26.867819,2.1341302,2.2,1.0333333,0.04714045,
112,22.802832,6.51E-06,2,1,0,
113,25.223303,6.23E-06,2,1,0,
114,20.072674,6.64E-06,2,1,0,
115,23.994703,5.52E-06,2,1,0,
116,31.425598,6.6164346,2.6,1.0791667,0.08852213,
117,34.13457,10.134707,2.6666667,1.1041666,0.12142557,
118,33.306873,10.309272,2.6666667,1.1180555,0.14106742,
119,30.059393,5.8048663,2.5,1.1585648,0.1178767,
120,29.52625,5.7563133,2.5,1.1782407,0.12666605,
121,26.274973,2.0180008,2.3333333,1.150463,0.08738235,
122,29.032875,4.9467297,2.5,1.1782407,0.12666605,
123,28.255865,5.0679336,2.5,1.1782407,0.12666605,
124,27.568459,5.224401,2.5,1.1782407,0.12666605,
125,27.04497,5.3456063,2.5,1.1782407,0.12666605,
126,26.678762,5.441405,2.5,1.074074,0.11947125,
127,26.36927,5.681289,2.5,1.0555555,0.08739623,
128,24.296347,3.9980488,2.3333333,1.0555555,0.078567415,
129,24.059072,4.2111816,2.3333333,1.1805555,0.058925565,
130,24.050062,4.410356,2.3333333,1.1944444,0.039283708,
131,23.603167,4.614035,2.3333333,1.1944444,0.039283708,
132,23.302572,4.7426686,2.3333333,1.1944444,0.039283708,
133,23.089905,4.8764863,2.3333333,1.1944444,0.039283708,
134,24.285233,4.239434,2.2857144,1.1666666,0.033671748,
135,26.301617,5.7027335,2.4285715,1.1785715,0.050507627,
136,26.822863,5.9666862,2.4285715,1.1904762,0.067343496,
137,27.275663,5.992414,2.4285715,1.1904762,0.067343496,
138,26.33837,6.9838815,2.5,1.2222222,0.078567415,
139,26.632517,6.9117603,2.5,1.2222222,0.078567415,
