 Time Step, Mean Dist, StdDev Mean Dist, Mean Cluster Size, StdDev Mean Cluster Size, Mean SD Est, StdDev Mean SD Est, Mean acutal density
1,26.415318,2.7337375,2.2857144,Stddev_mean_size,2.0142856,0.93082803,0.26100525
2,26.47253,2.928367,2.2857144,Stddev_mean_size,1.1547619,0.06738558,0.24180469
3,26.434818,3.099295,2.2857144,Stddev_mean_size,1.1547619,0.06738558,0.2356942
4,26.553152,3.274754,2.2857144,Stddev_mean_size,1.0821428,0.053808995,0.23415208
5,27.77958,3.0181353,2.25,Stddev_mean_size,1.0562501,0.056250002,0.19608293
6,27.751474,3.1469688,2.25,Stddev_mean_size,1.06875,0.043750003,0.20971222
7,27.629309,3.123082,2.25,Stddev_mean_size,1.1270833,0.05671107,0.24172024
8,27.551907,3.12658,2.25,Stddev_mean_size,1.1354166,0.05896238,0.33359057
9,28.103827,2.5349064,2.2222223,Stddev_mean_size,1.1092592,0.063522115,0.4922253
10,27.906986,2.3299575,2.2222223,Stddev_mean_size,1.1203704,0.052411005,1.6316407
11,26.766531,2.4044163,2.25,Stddev_mean_size,1.1229167,0.07146238,2.2973244
12,28.316996,3.6043017,2.375,Stddev_mean_size,1.16875,0.10610284,0.6516299
13,26.794096,3.95277,2.4285715,Stddev_mean_size,1.2119048,0.10779168,0.4039777
14,26.462727,3.830771,2.4285715,Stddev_mean_size,1.2119048,0.10779168,0.27389106
15,24.932213,4.4260755,2.5,Stddev_mean_size,1.2472223,0.12575696,0.23116969
16,24.243645,4.401193,2.5,Stddev_mean_size,1.2472223,0.12575696,0.17403978
17,24.35292,4.46582,2.5,Stddev_mean_size,1.2472223,0.12575696,0.13737552
18,24.995752,4.5168676,2.5,Stddev_mean_size,1.2805556,0.09927053,0.11191258
19,23.179127,5.4744616,2.6,Stddev_mean_size,1.3399999,0.10392306,0.27362067
20,25.224077,4.6659627,2.5,Stddev_mean_size,1.2666667,0.10326922,0.115483046
21,25.239792,4.6367364,2.5,Stddev_mean_size,1.2833333,0.086602546,0.14905234
22,26.71765,3.7926872,2.4285715,Stddev_mean_size,1.2285715,0.088516474,0.1741793
23,33.417664,6.954918,2.8333333,Stddev_mean_size,1.4166666,0.13495182,0.29726896
24,38.505478,13.325516,3.1666667,Stddev_mean_size,1.5575,0.22689901,0.94853014
25,39.185974,15.158047,3.3333333,Stddev_mean_size,1.5833334,0.23480022,0.36502624
26,39.65197,18.06496,3.6,Stddev_mean_size,1.7122223,0.27726275,0.75887084
27,33.07175,9.344958,2.857143,Stddev_mean_size,1.4952381,0.18946297,0.029039597
28,33.29204,10.024209,3,Stddev_mean_size,1.5523809,0.21723326,0.031688783
29,32.33635,10.275179,3,Stddev_mean_size,1.5666666,0.21558335,0.035412148
30,42.372322,21.869888,3.2857144,Stddev_mean_size,1.5380952,0.26907256,0.040065
31,28.426775,9.43181,2.857143,Stddev_mean_size,1.5642856,0.16166648,0.04450696
32,30.829607,12.056561,3,Stddev_mean_size,1.6071428,0.18186954,0.04372595
33,30.303896,12.63327,3,Stddev_mean_size,1.5309523,0.23574434,0.042471755
34,30.069183,13.053604,3,Stddev_mean_size,1.5261905,0.22900999,0.041034516
